Resultados del Análisis Léxico

Tokens Clasificados:
(finprograma, atributo 263, Palabra Reservada, línea 47)
(;, atributo 59, Caracter Simple, línea 45)
(34L, atributo 0, Error Lexico, línea 45)
(=, atributo 61, Caracter Simple, línea 45)
(entrada, atributo 261, Identificador, línea 45)
(;, atributo 59, Caracter Simple, línea 44)
(.99X, atributo 0, Error Lexico, línea 44)
(=, atributo 61, Caracter Simple, línea 44)
(otraLinea, atributo 0, Error Lexico, línea 44)
(;, atributo 59, Caracter Simple, línea 43)
(@, atributo 0, Error Lexico, línea 43)
(=, atributo 61, Caracter Simple, línea 43)
(random_symbol, atributo 0, Error Lexico, línea 43)
(;, atributo 59, Caracter Simple, línea 42)
(1101B, atributo 520, Numero Binario, línea 42)
(=, atributo 61, Caracter Simple, línea 42)
(12cu, atributo 0, Error Lexico, línea 42)
(;, atributo 59, Caracter Simple, línea 41)
(10B, atributo 520, Numero Binario, línea 41)
(=, atributo 61, Caracter Simple, línea 41)
(2, atributo 0, Error Lexico, línea 41)
(-, atributo 45, Caracter Simple, línea 41)
(base, atributo 261, Identificador, línea 41)
(;, atributo 59, Caracter Simple, línea 40)
(11H, atributo 0, Error Lexico, línea 40)
(=, atributo 61, Caracter Simple, línea 40)
(alpha1, atributo 0, Error Lexico, línea 40)
(;, atributo 59, Caracter Simple, línea 39)
(123, atributo 0, Error Lexico, línea 39)
(=, atributo 61, Caracter Simple, línea 39)
(Numero, atributo 0, Error Lexico, línea 39)
(), atributo 41, Caracter Simple, línea 38)
(esperados, atributo 261, Identificador, línea 38)
(lexico, atributo 261, Identificador, línea 38)
(errores, atributo 261, Identificador, línea 38)
((, atributo 40, Caracter Simple, línea 38)
(invalidos, atributo 261, Identificador, línea 38)
(Casos, atributo 0, Error Lexico, línea 38)
(#, atributo 0, Error Lexico, línea 38)
(12cu, atributo 0, Error Lexico, línea 36)
(1B, atributo 520, Numero Binario, línea 35)
(100O, atributo 732, Numero Octal, línea 35)
(;, atributo 59, Caracter Simple, línea 34)
(123O, atributo 732, Numero Octal, línea 34)
(=, atributo 61, Caracter Simple, línea 34)
(contador, atributo 261, Identificador, línea 34)
(;, atributo 59, Caracter Simple, línea 33)
(F0F0X, atributo 891, Numero Hexadecimal, línea 33)
(=, atributo 61, Caracter Simple, línea 33)
(direccion, atributo 261, Identificador, línea 33)
(;, atributo 59, Caracter Simple, línea 32)
(0B, atributo 520, Numero Binario, línea 32)
(+, atributo 43, Caracter Simple, línea 32)
(1B, atributo 520, Numero Binario, línea 32)
(=, atributo 61, Caracter Simple, línea 32)
(data, atributo 261, Identificador, línea 32)
(;, atributo 59, Caracter Simple, línea 31)
(), atributo 41, Caracter Simple, línea 31)
(data, atributo 261, Identificador, línea 31)
((, atributo 40, Caracter Simple, línea 31)
(leer, atributo 265, Palabra Reservada, línea 31)
(adicionales, atributo 261, Identificador, línea 30)
(validos, atributo 261, Identificador, línea 30)
(Casos, atributo 0, Error Lexico, línea 30)
(#, atributo 0, Error Lexico, línea 30)
(test, atributo 261, Identificador, línea 28)
(programa, atributo 257, Palabra Reservada, línea 28)
(;, atributo 59, Caracter Simple, línea 26)
(), atributo 41, Caracter Simple, línea 26)
(hex1, atributo 0, Error Lexico, línea 26)
((, atributo 40, Caracter Simple, línea 26)
(escribir, atributo 262, Palabra Reservada, línea 26)
(;, atributo 59, Caracter Simple, línea 24)
(CDEFX, atributo 891, Numero Hexadecimal, línea 24)
(-, atributo 45, Caracter Simple, línea 24)
(A1B2X, atributo 891, Numero Hexadecimal, línea 24)
(=, atributo 61, Caracter Simple, línea 24)
(hex1, atributo 0, Error Lexico, línea 24)
(;, atributo 59, Caracter Simple, línea 23)
(3O, atributo 732, Numero Octal, línea 23)
(+, atributo 43, Caracter Simple, línea 23)
(007O, atributo 732, Numero Octal, línea 23)
(*, atributo 42, Caracter Simple, línea 23)
(oct1, atributo 0, Error Lexico, línea 23)
(=, atributo 61, Caracter Simple, línea 23)
(oct1, atributo 0, Error Lexico, línea 23)
(;, atributo 59, Caracter Simple, línea 22)
(111B, atributo 520, Numero Binario, línea 22)
(+, atributo 43, Caracter Simple, línea 22)
(10101B, atributo 520, Numero Binario, línea 22)
(=, atributo 61, Caracter Simple, línea 22)
(bin1, atributo 0, Error Lexico, línea 22)
(;, atributo 59, Caracter Simple, línea 20)
(), atributo 41, Caracter Simple, línea 20)
(oct1, atributo 0, Error Lexico, línea 20)
((, atributo 40, Caracter Simple, línea 20)
(leer, atributo 265, Palabra Reservada, línea 20)
(;, atributo 59, Caracter Simple, línea 19)
(), atributo 41, Caracter Simple, línea 19)
(bin1, atributo 0, Error Lexico, línea 19)
((, atributo 40, Caracter Simple, línea 19)
(leer, atributo 265, Palabra Reservada, línea 19)
(;, atributo 59, Caracter Simple, línea 17)
(hex1, atributo 0, Error Lexico, línea 17)
(hexadecimal, atributo 260, Palabra Reservada, línea 17)
(;, atributo 59, Caracter Simple, línea 16)
(170, atributo 0, Error Lexico, línea 16)
(=, atributo 61, Caracter Simple, línea 16)
(oct1, atributo 0, Error Lexico, línea 16)
(octal, atributo 259, Palabra Reservada, línea 16)
(;, atributo 59, Caracter Simple, línea 15)
(bin2, atributo 0, Error Lexico, línea 15)
(,, atributo 44, Caracter Simple, línea 15)
(bin1, atributo 0, Error Lexico, línea 15)
(binario, atributo 258, Palabra Reservada, línea 15)
(;, atributo 59, Caracter Simple, línea 13)
(), atributo 41, Caracter Simple, línea 13)
(res, atributo 261, Identificador, línea 13)
((, atributo 40, Caracter Simple, línea 13)
(escribir, atributo 262, Palabra Reservada, línea 13)
(;, atributo 59, Caracter Simple, línea 11)
(112EX, atributo 891, Numero Hexadecimal, línea 11)
(B, atributo 520, Numero Binario, línea 11)
(-, atributo 45, Caracter Simple, línea 11)
(ADFX, atributo 891, Numero Hexadecimal, línea 11)
(=, atributo 61, Caracter Simple, línea 11)
(res, atributo 261, Identificador, línea 11)
(;, atributo 59, Caracter Simple, línea 10)
(101O, atributo 732, Numero Octal, línea 10)
(*, atributo 42, Caracter Simple, línea 10)
(1230, atributo 0, Error Lexico, línea 10)
(+, atributo 43, Caracter Simple, línea 10)
(numero, atributo 261, Identificador, línea 10)
(=, atributo 61, Caracter Simple, línea 10)
(numero, atributo 261, Identificador, línea 10)
(;, atributo 59, Caracter Simple, línea 9)
(1001B, atributo 520, Numero Binario, línea 9)
(+, atributo 43, Caracter Simple, línea 9)
(10010B, atributo 520, Numero Binario, línea 9)
(=, atributo 61, Caracter Simple, línea 9)
(multiple, atributo 261, Identificador, línea 9)
(;, atributo 59, Caracter Simple, línea 7)
(), atributo 41, Caracter Simple, línea 7)
(num, atributo 261, Identificador, línea 7)
((, atributo 40, Caracter Simple, línea 7)
(leer, atributo 265, Palabra Reservada, línea 7)
